Taxa,Type,Vouchers ID , Botanical garden ID,Sample ID,Origin,rpoB,rpoC,matK,trnH-psbA,rpl32-trnL
Fraxinus cuspidata,H,MEXU758471,758471,2,Mexico Herbarium (Mexico Mexico),,,,HM367410,HM222770
Fraxinus cuspidata,A,,,290,Parc Botanique du Launay (Orsay France),,,,HM367413,HM222773
Fraxinus cuspidata,A,P00729601,,288,Peckerwood Garden (Hempstead U.S.A.),,,,HM367411,HM222771
Fraxinus cuspidata,A,P00729603,,289,Peckerwood Garden (Hempstead U.S.A.),,,,HM367412,HM222772
Fraxinus dipetala,A,P00729560,10303*A6,245,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367415,HM222776
Fraxinus dipetala,A,P00729548,13476*D2,243,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,,HM222775
Fraxinus dipetala,A,P00729633,,56,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,,HM222777
Fraxinus dipetala,A,P00729621,,65,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367416,HM222778
Fraxinus excelsior,A,P00729583,1977.0646,232,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367418,
Fraxinus excelsior,A,,,TF,Parc Botanique du Launay (Orsay France),HM130632,GU991688,HM171528,HM367419,
Fraxinus excelsior,A,P00729561,,228,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367417,HM222779
Fraxinus excelsior monophylla,A,P00729664,3263,50,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130633,HM171524,HM367421,HM222781,
Fraxinus excelsior monophylla ,A,P00729576,,221,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367420,HM222780
Fraxinus excelsior var. nana,A,,3337,49,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130634,HM171522,HM367422,HM222782,
Fraxinus excelsior var. pendula,A,P00729652,350,11,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130631,GU991689,HM171489,HM367423,HM222783
Fraxinus floribunda,A,P00729680,1739,16,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130651,GU991708,HM171492,HM222869,
Fraxinus floribunda,A,P00729571,1977.0702*Y,223,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367425,HM222785
Fraxinus floribunda,A,P00729586,1977.0718*S,222,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367424,HM222784
Fraxinus floribunda ,A,P00729645,2162,27,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991707,HM171504,HM367535,HM222870
Fraxinus formosana,A,P00729591,OSN84-00-0285-60,248,Botanic Garden OsnabrÃ¼ck (OsnabrÃ¼ck Deutschland),,,,HM367426,
Fraxinus gooddingii,H,MEXU1214941,1214941,5,Mexico Herbarium (Mexico Mexico),,,,HM367427,HM222786
Fraxinus greggii,A,P00729693,801,281,University of Arizona Campus Arboretum (Tucson U.S.A.),,,,HM367430,HM222788
Fraxinus greggii,H,MEXU529898,529898,14,Mexico Herbarium (Mexico Mexico),,,,HM367428,
Fraxinus greggii,A,,19860253,246,Cambridge University Botanic Garden (Cambridge U.K),,,,HM367429,HM222787
Fraxinus greggii,A,P00729605,,294,Peckerwood Garden (Hempstead U.S.A.),,,,HM367431,HM222789
Fraxinus greggii,A,P00729607,,296,Peckerwood Garden (Hempstead U.S.A.),,,,HM367433,
Fraxinus greggii,A,P00729609,,295,Peckerwood Garden (Hempstead U.S.A.),,,,HM367432,HM222790
Fraxinus griffithii,A,P00729581,1977.2517*T,234,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367434,HM222791
Fraxinus griffithii,A,,783-01,276,Parc Botanique du Launay (Orsay France),,,,HM367435,HM222792
Fraxinus griffithii,A,,783-10,277,Parc Botanique du Launay (Orsay France),,,,HM367436,
Fraxinus guilinensis,A,P00729675,,68,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367437,HM222793
Fraxinus holotricha,A,P00729668,3819,43,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130635,GU991690,HM171517,HM367440,HM222795
Fraxinus holotricha,A,,3820,44,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991691,HM171518,HM367441,HM222796
Fraxinus holotricha,A,,1982.0066*A,209,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367439,
Fraxinus holotricha,A,P00729628,,102,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367438,HM222794
Fraxinus hoopiensis,A,,19990031,283,Arboretum Kalmthout (KalmthoutNetherland),,,,,HM222797
Fraxinus incana,A,,,122,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367442,
Fraxinus lanuginosa,W,,107,137,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367443,HM222798
Fraxinus lanuginosa,W,,107,164,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367445,HM222799
Fraxinus lanuginosa,W,,108,138,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367444,
Fraxinus lanuginosa,W,,108,165,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367446,
Fraxinus lanuginosa,W,,274,188,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367447,
Fraxinus lanuginosa,W,,275,189,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367448,
Fraxinus lanuginosa,W,,276,190,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367449,
Fraxinus lanuginosa var. serrata,W,,78,134,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367450,HM222800
Fraxinus lanuginosa var. serrata,W,,83,135,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367451,HM222801
Fraxinus lanuginosa var. serrata,W,,97,136,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367452,HM222802
Fraxinus lanuginosa var. serrata,W,,113,139,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367453,HM222803
Fraxinus lanuginosa var. serrata,W,,132,140,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367454,HM222804
Fraxinus lanuginosa var. serrata,W,,139,141,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367455,HM222805
Fraxinus lanuginosa var. serrata,W,,165,142,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367456,HM222806
Fraxinus lanuginosa var. serrata,W,,170,143,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367457,HM222807
Fraxinus lanuginosa var. serrata,W,,176,144,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367458,HM222808
Fraxinus lanuginosa var. serrata,W,,181,145,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367459,HM222809
Fraxinus lanuginosa var. serrata,W,,185,146,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367460,HM222810
Fraxinus lanuginosa var. serrata,W,,188,147,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367461,HM222811
Fraxinus lanuginosa var. serrata,W,,191,148,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367462,HM222812
Fraxinus lanuginosa var. serrata,W,,192,149,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367463,HM222813
Fraxinus lanuginosa var. serrata,W,,194,150,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367464,HM222814
Fraxinus lanuginosa var. serrata,W,,218,152,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367465,HM222815
Fraxinus lanuginosa var. serrata,W,,238,153,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367466,HM222816
Fraxinus latifolia,A,,408,3,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130636,HM171507,HM367469,HM222820,
Fraxinus latifolia,A,,3808,40,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130637,GU991692,HM171515,HM367470,HM222821
Fraxinus latifolia,A,P00729615,10501*C1,237,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367467,HM222817
Fraxinus latifolia,A,P00729554,10521*A3,244,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367468,HM222819
Fraxinus latifolia,A,P00729552,8669*A4,238,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,,HM222818
Fraxinus latifolia,A,P00729619,,66,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367471,HM222822
Fraxinus longicuspis,W,,1,154,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367474,HM222824
Fraxinus longicuspis,W,,3,156,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367475,HM222825
Fraxinus longicuspis,W,,4,157,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367476,
Fraxinus longicuspis,W,,5,158,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367477,HM222826
Fraxinus longicuspis,W,,6,159,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367478,HM222827
Fraxinus longicuspis,W,,7,160,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367479,HM222828
Fraxinus longicuspis,W,,8,161,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367480,
Fraxinus longicuspis,W,,9,162,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367481,HM222829
Fraxinus longicuspis,W,,10,163,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367482,
Fraxinus longicuspis,A,P00729690,2083,25,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130638,GU991693,HM171502,HM367483,HM222830
Fraxinus longicuspis,A,,,123,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367473,
Fraxinus longicuspis,A,P00729653,,110,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367472,HM222823
Fraxinus longicuspis var. latifolia,A,,1438-1972,256,Jardin botanique de MontrÃ©al (MontrÃ©al Canada),,,,HM367484,HM222831
Fraxinus malacophylla,A,P00729640,,273,Colvos Creek Nursery (Seattle U.S.A.),,,,HM367486,
Fraxinus malcophylla,A,P00729564,1969-1384-P,264,Los Angeles County Arboretum and Botanic Garden (Los Angeles U.S.A.),,,HM367485,,
Fraxinus mandshurica,A,P00729677,2456,22,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991694,HM171499,HM367489,HM222834
Fraxinus mandshurica,A,P00729590,2500,23,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130639,GU991695,HM171500,HM367490,HM222835
Fraxinus mandshurica,A,P00729559,1982.2662*A,212,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367488,HM222833
Fraxinus mandshurica,A,P00729620,,105,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367487,HM222832
Fraxinus mandshurica var. japonica,W,,263,184,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367491,
Fraxinus mandshurica var. japonica,W,,264,185,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367492,
Fraxinus mandshurica var. japonica,W,,265,186,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367493,
Fraxinus mandshurica var. japonica,W,,296,192,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367494,
Fraxinus mandshurica var. japonica,W,,297,193,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367495,
Fraxinus mariesii,A,P00729679,1883,18,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130640,GU991696,HM171494,HM222836,
Fraxinus micrantha,A,,,292,Parc Botanique du Launay (Orsay France),,,,,HM222837
Fraxinus micrantha,A,,,293,Parc Botanique du Launay (Orsay France),,,,HM367496,HM222838
Fraxinus nigra,A,P00729686,1994,33,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130641,GU991697,HM367498,HM222840,
Fraxinus nigra,A,P00729632,3828,47,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130642,GU991698,,,
Fraxinus nigra,A,,,100,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367497,HM222839
Fraxinus obliqua,A,P00729547,1982.3212*A,207,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367499,HM222841
Fraxinus ornus,A,,741,1,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130643,GU991699,HM171487,HM222842,
Fraxinus ornus,A,,1597,12,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130644,GU991700,HM171490,HM367500,HM222843
Fraxinus ornus,A,,1887,19,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130645,GU991701,HM171495,HM367501,HM222844
Fraxinus ornus,W,,MOSOR1,286,Leg Yakovlev,,,,HM367503,
Fraxinus ornus,W,,MOSOR2,287,Leg Yakovlev,,,,HM367504,
Fraxinus ornus,A,P00729672,,58,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367505,HM222845
Fraxinus ornus,A,P00729644,,274,Colvos Creek Nursery (Seattle U.S.A.),,,,HM367502,
Fraxinus pallisiae ,A,,1034-1976,252,Jardin botanique de MontrÃ©al (MontrÃ©al Canada),,,,HM367371,HM222728
Fraxinus pallisiae ,A,P00729570,1982.0951*A,217,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367369,HM222726
Fraxinus pallisiae ,A,P00729584,1982.0951*B,218,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367370,HM222727
Fraxinus pallisiae ,A,P00729624,,103,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367368,HM222725
Fraxinus papillosa,A,P00729692,1541,280,University of Arizona Campus Arboretum (Tucson U.S.A.),,,,HM367507,HM222847
Fraxinus papillosa,H,MEXU714886,714886,22,Mexico Herbarium (Mexico Mexico),,,,,HM222846
Fraxinus paxiana,A,P00729629,,59,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367509,HM222849
Fraxinus paxiana,A,P00729556,,60,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367510,HM222850
Fraxinus paxiana,A,P00729657,,112,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367508,HM222848
Fraxinus pennsylvanica,A,P00729622,,104,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367511,HM222851
Fraxinus pennsylvanica ssp. pennsylvanica,A,P00729648,1609,13,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130646,GU991702,HM171491,HM222852,
Fraxinus pennsylvanica ssp. pennsylvanica,A,P00729678,1639,15,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991703,,HM222853,
Fraxinus pennsylvanica ssp. pennsylvanica,A,,3806,38,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130647,GU991704,HM367512,HM222854,
Fraxinus platypoda,W,,253,174,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367514,HM222856
Fraxinus platypoda,W,,254,175,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367515,HM222857
Fraxinus platypoda,W,,255,176,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367516,HM222858
Fraxinus platypoda,W,,256,177,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367517,
Fraxinus platypoda,W,,257,178,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367518,
Fraxinus platypoda,W,,258,179,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367519,
Fraxinus platypoda,W,,259,180,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367520,
Fraxinus platypoda,W,,260,181,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367521,
Fraxinus platypoda,W,,261,182,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367522,
Fraxinus platypoda,W,,262,183,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367523,
Fraxinus platypoda,A,,19810042,250,Jard. Bot. Nat. de Belgique (Meise Belgium),,,,,HM222859
Fraxinus platypoda,A,P00729635,,55,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367524,HM222860
Fraxinus platypoda,A,P00729647,,107,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367513,HM222855
Fraxinus potamophila ,A,P00729674,,52,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367372,HM222729
Fraxinus profunda,A,,2003,30,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130648,GU991705,HM171508,HM367529,HM222865
Fraxinus profunda,A,,1251-2001,254,Jardin botanique de MontrÃ©al (MontrÃ©al Canada),,,,HM367528,HM222864
Fraxinus profunda,A,P00729582,1993.1156*A,216,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367526,HM222862
Fraxinus profunda,A,P00729593,OSN93-12-0041-10,249,Botanic Garden OsnabrÃ¼ck (OsnabrÃ¼ck Deutschland),,,,HM367527,HM222863
Fraxinus profunda,A,,,125,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367525,HM222861
Fraxinus profunda ,A,,2001,32,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130655,GU991714,HM367563,HM222889,
Fraxinus profunda ,A,,5525,34,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130656,GU991715,HM171510,HM367564,HM222890
Fraxinus purpusii,H,MEXU833610,833610,18,Mexico Herbarium (Mexico Mexico),,,,HM367530,
Fraxinus quadrangulata,A,,518,4,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130649,HM171514,HM367532,HM222867,
Fraxinus quadrangulata,A,,519,5,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130650,GU991706,HM171523,HM222868,
Fraxinus quadrangulata,A,P00729655,,111,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367531,HM222866
Fraxinus raibocarpa,A,,,126,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367533,
Fraxinus retusa var. henryana ,A,,,119,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367534,
Fraxinus richardii ,A,,,127,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367536,HM222871
Fraxinus sieboldiana,W,,145,166,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367538,
Fraxinus sieboldiana,W,,146,167,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367539,
Fraxinus sieboldiana,W,,147,168,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367540,HM222873
Fraxinus sieboldiana,W,,148,169,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367541,
Fraxinus sieboldiana,W,,150,170,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367542,
Fraxinus sieboldiana,W,,151,171,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367543,
Fraxinus sieboldiana,W,,152,172,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367544,HM222874
Fraxinus sieboldiana,W,,153,173,Forestry and Forest Products Research Institute (Tsukuba Japan),,,,HM367545,HM222875
Fraxinus sieboldiana,A,P00729599,1977.5390*Q,205,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367546,HM222876
Fraxinus sieboldiana,A,,880-1988,253,Jardin botanique de MontrÃ©al (MontrÃ©al Canada),,,,HM367547,HM222877
Fraxinus sieboldiana,A,P00729661,,114,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,HM367537,HM222872
Fraxinus sikkimensis ,A,,,120,Arboretum FrankfÃ¼rt (FrankfÃ¼rt Deutshcland),,,,HM367548,
Fraxinus sogdiana,A,,1002-2003,259,Jardin botanique de MontrÃ©al (MontrÃ©al Canada),,,,,HM222732
Fraxinus sp.,A,P00729573,1977.5154,235,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367550,HM222878
Fraxinus sp.,A,P00729579,1977.5155,236,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367551,HM222879
Fraxinus sp.,A,,,71,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367553,HM222881
Fraxinus sp.,A,,,70,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367552,HM222880
Fraxinus sp.,A,P00729568,,211,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367549,
Fraxinus spaethiana,A,P00729658,3825,46,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991712,HM171520,HM367557,HM222885
Fraxinus spaethiana,A,P00729566,1977.5400*Q,208,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367556,HM222884
Fraxinus spaethiana,A,P00729551,1977.5614*W,204,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367555,HM222883
Fraxinus spaethiana,A,,1977.5659*R,203,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367554,HM222882
Fraxinus syriaca,A,,2019,29,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130653,GU991710,HM171506,HM367376,HM222734
Fraxinus syriaca,A,P00729643,2020,28,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991713,HM171505,HM367375,HM222733
Fraxinus syriaca,A,,3804,39,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130654,GU991711,HM171513,HM367377,HM222735
Fraxinus syriaca,A,P00729665,,116,PÃ©piniÃ¨re Adeline (La Chapelle Montlinard France),,,,,HM222736
Fraxinus syriaca ,A,P00729631,,57,Arboretum ChÃ¨vreloup (Rocquencourt France),,,,HM367378,HM222737
Fraxinus texensis,A,P00729589,,267,Fort Worth Bot. Garden (Fort Worth U.S.A.),,,,HM367558,HM222886
